,grid_ID,People,Total_conveyance_capital_energy_y_m3,Total_conveyance_operational_energy_y_m3,Total_Treatment_Capital_energy_y_m3,Total_Treatment_Operational_energy_y_m3,Total_Energy_final_y_m3,Total_Treatment_energy_offsets_y_m3
0,655,100,0.0926445548381,0.479415311618,0.982531869882,11.6007685615,13.1553602978,-1.12
1,655,600,0.0626837505331,0.585939896158,0.877358220015,7.22515936856,8.75114123527,-1.12
2,655,1100,0.0561291173606,0.606396757606,0.862903208478,6.2078411778,7.73327026124,-1.12
3,655,1600,0.0512494047629,0.581690792898,0.856821135782,5.66595273351,7.15571406695,-1.12
4,655,2100,0.0486201529143,0.629074879495,0.853635059483,5.30927494392,6.84060503582,-1.12
5,655,2600,0.0466111782498,0.61714039464,0.851674275957,5.04891627307,6.56434212192,-1.12
6,655,3100,0.0493591304453,0.584647458759,0.85102005582,4.84671132894,6.33173797396,-1.12
7,655,3600,0.0485991625445,0.608419186818,0.850315316263,4.6830256593,6.19035932492,-1.12
8,655,4100,0.0479107856909,0.632785894136,0.849680489587,4.54652623086,6.07690340027,-1.12
9,655,4600,0.0477282322606,0.658215965641,0.849547085716,4.4301245388,5.98561582241,-1.12
10,655,5100,0.0475748753515,0.622837476387,0.849439820683,4.32911525263,5.84896742506,-1.12
11,655,5600,0.046996408854,0.648973976946,0.848903883281,4.24022827267,5.78510254175,-1.12
12,655,6100,0.046358712935,0.67710304708,0.848455792791,4.16110635149,5.7330239043,-1.12
13,655,6600,0.0459535406062,0.707521609872,0.84807558531,4.08999884572,5.69154958151,-1.12
14,655,7100,0.0495550548405,0.666982080631,0.847748920342,4.02557297191,5.58985902772,-1.12
15,655,7600,0.0494032952056,0.686192139427,0.847740203447,3.96679258006,5.55012821814,-1.12
16,655,8100,0.0491232350486,0.706181723253,0.84747455836,3.9128375446,5.51561706126,-1.12
17,655,8600,0.0487675929673,0.727058431601,0.847239797482,3.86304855482,5.48611437687,-1.12
18,655,9100,0.0485504869445,0.74892515621,0.847030830395,3.81688832382,5.46139479737,-1.12
19,655,9600,0.0482593329252,0.771880975779,0.846843627136,3.7739137196,5.44089765544,-1.12
20,655,10100,0.0480867937701,0.729687740741,0.846674955716,3.73375534666,5.35820483689,-1.12
21,654,100,0.0926445548381,0.460304200126,0.982531869882,11.6005563113,13.1360369361,-1.12
22,654,600,0.0653854710605,0.509253222954,0.877358220015,7.22494711835,8.67694403238,-1.12
23,654,1100,0.0561291173606,0.543012371461,0.862903208478,6.20762892759,7.66967362489,-1.12
24,654,1600,0.0512494047629,0.51374017426,0.856821135782,5.6657404833,7.0875511981,-1.12
25,654,2100,0.0486201529143,0.551227666139,0.853635059483,5.30906269371,6.76254557225,-1.12
26,654,2600,0.0500692256439,0.536611606877,0.851674275957,5.04870402286,6.48705913134,-1.12
27,654,3100,0.048685004561,0.499522526361,0.850345929936,4.84649907873,6.24505253958,-1.12
28,654,3600,0.0482497153131,0.516685851658,0.84996701789,4.68281340909,6.09771599395,-1.12
29,654,4100,0.0477069037156,0.534889237179,0.849476607612,4.54631398064,5.97838672915,-1.12
30,654,4600,0.0471824134852,0.554521674057,0.849001923045,4.42991228858,5.88061829917,-1.12
31,654,5100,0.0470831600004,0.575935454784,0.848948105332,4.32890300242,5.80086972254,-1.12
32,654,5600,0.0465485966593,0.544963458426,0.848456071086,4.24001602246,5.67998414863,-1.12
33,654,6100,0.0503108386405,0.521884499606,0.848455792791,4.16089410128,5.58154523232,-1.12
34,654,6600,0.0499056663117,0.535522125428,0.84807558531,4.08978659551,5.52328997256,-1.12
35,654,7100,0.0495550548405,0.549867107714,0.847748920342,4.02536072169,5.47253180459,-1.12
36,654,7600,0.0491278227341,0.56502355224,0.847465231047,3.96658032985,5.42819693587,-1.12
37,654,8100,0.0488647670507,0.581090811671,0.847216559566,3.91262529439,5.38979743267,-1.12
38,654,8600,0.0487675929673,0.598164499238,0.847239797482,3.86283630461,5.35700819429,-1.12
39,654,9100,0.0786766081019,0.545461439263,0.847030830395,3.81667607361,5.28784495137,-1.12
40,654,9600,0.0783854540827,0.552505760609,0.846843627136,3.77370146939,5.25143631122,-1.12
41,654,10100,0.0782129149275,0.55947721766,0.846674955716,3.73354309645,5.21790818475,-1.12
42,653,100,0.0926445548381,0.471711958484,0.982531869882,11.6014822199,13.1483706031,-1.12
43,653,600,0.0626837505331,0.567070611671,0.877358220015,7.22587302695,8.73298560916,-1.12
44,653,1100,0.0561291173606,0.580847625631,0.862903208478,6.20855483618,7.70843478765,-1.12
45,653,1600,0.0512494047629,0.554301092864,0.856821135782,5.66666639189,7.1290380253,-1.12
46,653,2100,0.0486201529143,0.597696036079,0.853635059483,5.30998860231,6.80993985079,-1.12
47,653,2600,0.0500700854964,0.588316835739,0.851674275957,5.04962993145,6.53969112865,-1.12
48,653,3100,0.048685004561,0.550335094715,0.850345929936,4.84742498732,6.29679101653,-1.12
49,653,3600,0.0482497153131,0.571443091773,0.84996701789,4.68373931768,6.15339914266,-1.12
50,653,4100,0.0479107856909,0.593325472405,0.849680489587,4.54723988924,6.03815663692,-1.12
51,653,4600,0.0477282322606,0.616418619294,0.849547085716,4.43083819718,5.94453213445,-1.12
52,653,5100,0.0470831600004,0.582828061791,0.848948105332,4.32982891102,5.80868823814,-1.12
53,653,5600,0.046996408854,0.607049165079,0.848903883281,4.24094193105,5.74389138827,-1.12
54,653,6100,0.046358712935,0.633346602483,0.848455792791,4.16182000988,5.68998111808,-1.12
55,653,6600,0.0499056663117,0.602923628704,0.84807558531,4.09071250411,5.59161738443,-1.12
