,grid_ID,People,Total_conveyance_capital_GHG_y_m3,Total_conveyance_operational_GHG_y_m3,Total_Treatment_Capital_GHG_y_m3,Total_Treatment_Operational_GHG_y_m3,Total_GHG_final_y_m3,Total_Treatment_GHG_offsets_y_m3
0,655,100,0.0104931333103,0.0110531863512,0.0706707971223,0.267716079087,0.35993319587,-0.36
1,655,600,0.00698770989961,0.0135091698281,0.0706933781335,0.166660197252,0.257850455114,-0.36
2,655,1100,0.00628829947946,0.0139808141337,0.0703688192036,0.143174015519,0.233811948336,-0.36
3,655,1600,0.00583585111453,0.0134112043918,0.0702027937878,0.13066534894,0.220115198234,-0.36
4,655,2100,0.0055832914966,0.0145036708328,0.0701156234707,0.122432610826,0.212635196626,-0.36
5,655,2600,0.00539341559136,0.0142285146542,0.0700618717679,0.116423406356,0.206107208369,-0.36
6,655,3100,0.00554701938023,0.0134793719658,0.0700700972487,0.111756610261,0.200853098855,-0.36
7,655,3600,0.00546417344741,0.0140274423627,0.0700605967622,0.107978946494,0.197531159066,-0.36
8,655,4100,0.00539239158487,0.014589230337,0.0700466231546,0.104828794864,0.194857039941,-0.36
9,655,4600,0.00535868311189,0.0151755347634,0.0700597661488,0.102142524898,0.192736508922,-0.36
10,655,5100,0.00533025882863,0.0143598640389,0.0700703152781,0.0998115224192,0.189571960565,-0.36
11,655,5600,0.00527621829699,0.0149624555796,0.0700492716228,0.0977603049799,0.188048250479,-0.36
12,655,6100,0.00521905454063,0.0156109869188,0.0700316672982,0.0959344624046,0.186796171162,-0.36
13,655,6600,0.0051802468359,0.0163123037832,0.0700167218043,0.0942935870319,0.185802859455,-0.36
14,655,7100,0.00534572897457,0.0153776424145,0.0700038742982,0.0928069166483,0.183534162336,-0.36
15,655,7600,0.00532515986451,0.0158205409923,0.0700109457142,0.0914505360922,0.182607182663,-0.36
16,655,8100,0.00529803125118,0.0162814119528,0.0700000303906,0.0902055165077,0.181784990102,-0.36
17,655,8600,0.00526579800157,0.0167627360619,0.0699903800357,0.0890566409312,0.18107555503,-0.36
18,655,9100,0.0052443271116,0.017266885546,0.0699817864843,0.0879915088848,0.180484508027,-0.36
19,655,9600,0.00521774045996,0.0177961447194,0.0699740848944,0.0869998930918,0.179987863165,-0.36
20,655,10100,0.00520032985281,0.0168233562449,0.0699671430311,0.0860732681763,0.178064097305,-0.36
21,654,100,0.0104931333103,0.0106125690585,0.0706707971223,0.267699015834,0.359475515325,-0.36
22,654,600,0.00716504461555,0.0117411159737,0.0706933781335,0.166643134,0.256242672723,-0.36
23,654,1100,0.00628829947946,0.0125194518976,0.0703688192036,0.143156952267,0.232333522847,-0.36
24,654,1600,0.00583585111453,0.0118445651288,0.0702027937878,0.130648285687,0.218531495718,-0.36
25,654,2100,0.0055832914966,0.0127088600804,0.0701156234707,0.122415547574,0.210823322621,-0.36
26,654,2600,0.00563591694634,0.0123718787141,0.0700618717679,0.116406343103,0.204476010532,-0.36
27,654,3100,0.00550231586172,0.0115167693578,0.0700253937302,0.111739547008,0.198784025958,-0.36
28,654,3600,0.00544098427024,0.0119124793577,0.0700374999443,0.107961883242,0.195352846814,-0.36
29,654,4100,0.00537887149626,0.0123321685238,0.070033103066,0.104811731612,0.192555874698,-0.36
30,654,4600,0.00532247882518,0.012784805263,0.0700236146078,0.102125461646,0.190256360342,-0.36
31,654,5100,0.00529765155621,0.0132785118742,0.0700377080057,0.099794459167,0.188408330603,-0.36
32,654,5600,0.00524652238818,0.0125644352915,0.070019575714,0.0977432417277,0.185573775121,-0.36
33,654,6100,0.0054184115324,0.0120323370743,0.0700316672982,0.0959173991523,0.183399815057,-0.36
34,654,6600,0.00537960382767,0.012346760114,0.0700167218043,0.0942765237796,0.182019609526,-0.36
35,654,7100,0.00534572897457,0.0126774916501,0.0700038742982,0.092789853396,0.180816948319,-0.36
36,654,7600,0.00530688533271,0.0130269318989,0.0699927113843,0.0914334728399,0.179760001456,-0.36
37,654,8100,0.0052808847769,0.0133973714913,0.0699829216366,0.0901884532554,0.17884963116,-0.36
38,654,8600,0.00526579800157,0.0137910148436,0.0699903800357,0.0890395776789,0.17808677056,-0.36
39,654,9100,0.00630640661666,0.0125759165164,0.0699817864843,0.0879744456325,0.17683855525,-0.36
40,654,9600,0.00627981996501,0.0127383272585,0.0699740848944,0.0869828298395,0.175975061957,-0.36
41,654,10100,0.00626240935786,0.0128990580738,0.0699671430311,0.086056204924,0.175184815387,-0.36
42,653,100,0.0104931333103,0.010875581265,0.0706707971223,0.267773451624,0.359812963321,-0.36
43,653,600,0.00698770989961,0.0130741279913,0.0706933781335,0.166717569789,0.257472785814,-0.36
44,653,1100,0.00628829947946,0.0133917647021,0.0703688192036,0.143231388056,0.233280271441,-0.36
45,653,1600,0.00583585111453,0.012779719641,0.0702027937878,0.130722721476,0.21954108602,-0.36
46,653,2100,0.0055832914966,0.0137802141651,0.0701156234707,0.122489983363,0.211969112495,-0.36
47,653,2600,0.00563598607173,0.0135639714907,0.0700618717679,0.116480778892,0.205742608223,-0.36
48,653,3100,0.00550231586172,0.0126882813504,0.0700253937302,0.111813982798,0.20002997374,-0.36
49,653,3600,0.00544098427024,0.0131749379492,0.0700374999443,0.108036319031,0.196689741194,-0.36
50,653,4100,0.00539239158487,0.0136794483916,0.0700466231546,0.104886167401,0.194004630532,-0.36
51,653,4600,0.00535868311189,0.0142118737226,0.0700597661488,0.102199897435,0.191830220418,-0.36
52,653,5100,0.00529765155621,0.013437424758,0.0700377080057,0.0998688949561,0.188641679276,-0.36
