,grid_ID,People,Total_conveyance_capital_GHG_central_y,Total_conveyance_operational_GHG_central_y,Total_Treatment_capital_GHG_y,Total_Treatment_operational_GHG_y,Total_GHG_m3,Treatment_operational_direct_GHG_y,Total_conveyance_operational_GHG_collection_y
0,655,100,0.0172725717574,0.0386954231889,0.0700611055901,0.0927023663842,0.225687022476,0.0005,0.00645555555556
1,655,600,0.00579176523916,0.0359580400413,0.0700611055901,0.0927023663842,0.21146883281,0.0005,0.00645555555556
2,655,1100,0.00441173130343,0.0336657650967,0.0700611055901,0.0927023663842,0.20779652393,0.0005,0.00645555555556
3,655,1600,0.00406748852034,0.0350878929327,0.0700611055901,0.0927023663842,0.208874408983,0.0005,0.00645555555556
4,655,2100,0.00383433535321,0.0333744792527,0.0700611055901,0.0927023663842,0.206927842136,0.0005,0.00645555555556
5,655,2600,0.00369076316205,0.0350665850827,0.0700611055901,0.0927023663842,0.208476375775,0.0005,0.00645555555556
6,655,3100,0.00358466243653,0.0369964661061,0.0700611055901,0.0927023663842,0.210300156072,0.0005,0.00645555555556
7,655,3600,0.00346945456765,0.0391789429357,0.0700611055901,0.0927023663842,0.212367425033,0.0005,0.00645555555556
8,655,4100,0.00345106995484,0.0356130529021,0.0700611055901,0.0927023663842,0.208783150387,0.0005,0.00645555555556
9,655,4600,0.00337542819676,0.0367278921929,0.0700611055901,0.0927023663842,0.20982234792,0.0005,0.00645555555556
10,655,5100,0.00331461815596,0.034763602512,0.0700611055901,0.0927023663842,0.207797248198,0.0005,0.00645555555556
11,655,5600,0.00330434504025,0.035937524173,0.0700611055901,0.0927023663842,0.208960896743,0.0005,0.00645555555556
12,655,6100,0.00325933034683,0.0371927802255,0.0700611055901,0.0927023663842,0.210171138102,0.0005,0.00645555555556
13,655,6600,0.00322113606151,0.0330282550164,0.0700611055901,0.0927023663842,0.205968418608,0.0005,0.00645555555556
14,655,7100,0.00344033996923,0.032094013423,0.0700611055901,0.0927023663842,0.205253380922,0.0005,0.00645555555556
15,655,7600,0.00339526271998,0.0277773992559,0.0700611055901,0.0927023663842,0.200891689506,0.0005,0.00645555555556
16,655,8100,0.00335575056322,0.0280439010783,0.0700611055901,0.0927023663842,0.201118679171,0.0005,0.00645555555556
17,655,8600,0.0033208328433,0.0283097935955,0.0700611055901,0.0927023663842,0.201349653969,0.0005,0.00645555555556
18,655,9100,0.00328975223546,0.0285756651649,0.0700611055901,0.0927023663842,0.20158444493,0.0005,0.00645555555556
19,655,9600,0.00326772645474,0.0288420357466,0.0700611055901,0.0927023663842,0.201828789731,0.0005,0.00645555555556
20,655,10100,0.00324235216394,0.0291093691862,0.0700611055901,0.0927023663842,0.20207074888,0.0005,0.00645555555556
21,654,100,0.0169612375168,0.0382522427088,0.0700611055901,0.0927023663842,0.224932507755,0.0005,0.00645555555556
22,654,600,0.00572378290005,0.0349963375781,0.0700611055901,0.0927023663842,0.210439148008,0.0005,0.00645555555556
23,654,1100,0.00437465002755,0.0324903955041,0.0700611055901,0.0927023663842,0.206584073061,0.0005,0.00645555555556
24,654,1600,0.00400734991612,0.0336648783048,0.0700611055901,0.0927023663842,0.207391255751,0.0005,0.00645555555556
25,654,2100,0.00381491182775,0.0318856731071,0.0700611055901,0.0927023663842,0.205419612465,0.0005,0.00645555555556
26,654,2600,0.00367507492995,0.0334015201519,0.0700611055901,0.0927023663842,0.206795622612,0.0005,0.00645555555556
27,654,3100,0.0035267024865,0.0351681277451,0.0700611055901,0.0927023663842,0.208413857761,0.0005,0.00645555555556
28,654,3600,0.0034581241778,0.037196733094,0.0700611055901,0.0927023663842,0.210373884802,0.0005,0.00645555555556
29,654,4100,0.00343890900459,0.0335358588293,0.0700611055901,0.0927023663842,0.206693795364,0.0005,0.00645555555556
30,654,4600,0.00336458908894,0.0345226469918,0.0700611055901,0.0927023663842,0.207606263611,0.0005,0.00645555555556
31,654,5100,0.00330484170576,0.032629960856,0.0700611055901,0.0927023663842,0.205653830092,0.0005,0.00645555555556
32,654,5600,0.00329544148739,0.0336960852262,0.0700611055901,0.0927023663842,0.206710554243,0.0005,0.00645555555556
33,654,6100,0.00325115659339,0.0348472462614,0.0700611055901,0.0927023663842,0.207817430385,0.0005,0.00645555555556
34,654,6600,0.00347596512826,0.0293890772402,0.0700611055901,0.0927023663842,0.202584069898,0.0005,0.00645555555556
35,654,7100,0.00342520461082,0.029614615593,0.0700611055901,0.0927023663842,0.202758847734,0.0005,0.00645555555556
36,654,7600,0.00338112310883,0.0298407767452,0.0700611055901,0.0927023663842,0.202940927384,0.0005,0.00645555555556
37,654,8100,0.00334248376758,0.0257731236689,0.0700611055901,0.0927023663842,0.198834634966,0.0005,0.00645555555556
38,654,8600,0.00330833737298,0.0259695245542,0.0700611055901,0.0927023663842,0.198996889457,0.0005,0.00645555555556
39,654,9100,0.00327794332944,0.0261678435738,0.0700611055901,0.0927023663842,0.199164814433,0.0005,0.00645555555556
40,654,9600,0.0032507153321,0.0263684399703,0.0700611055901,0.0927023663842,0.199338182832,0.0005,0.00645555555556
41,654,10100,0.00323171245654,0.0265716375534,0.0700611055901,0.0927023663842,0.19952237754,0.0005,0.00645555555556
42,653,100,0.0164784147861,0.0385264364223,0.0700611055901,0.0927023663842,0.224723878738,0.0005,0.00645555555556
43,653,600,0.00561835466787,0.0355791898229,0.0700611055901,0.0927023663842,0.210916572021,0.0005,0.00645555555556
44,653,1100,0.00431714371909,0.0332156404167,0.0700611055901,0.0927023663842,0.207251811666,0.0005,0.00645555555556
