,grid_ID,People,Total_conveyance_capital_energy_central_y,Total_conveyance_operational_energy_central_y,Total_Treatment_capital_energy_y,Total_Treatment_operational_energy_y,Total_Energy_m3,Total_conveyance_operational_energy_collection_y
0,655,100,0.499887934768,1.67835570458,0.500572019937,3.42926582125,6.38808148054,0.28
1,655,600,0.114544278195,1.55962583312,0.500572019937,3.42926582125,5.8840079525,0.28
2,655,1100,0.0683687880531,1.46020185962,0.500572019937,3.42926582125,5.73840848886,0.28
3,655,1600,0.0536657619827,1.52188451274,0.500572019937,3.42926582125,5.78538811592,0.28
4,655,2100,0.0451675340384,1.44756777482,0.500572019937,3.42926582125,5.70257315005,0.28
5,655,2600,0.0399366945048,1.52096031684,0.500572019937,3.42926582125,5.77073485253,0.28
6,655,3100,0.0362596233668,1.60466599978,0.500572019937,3.42926582125,5.85076346434,0.28
7,655,3600,0.0330224078829,1.6993276454,0.500572019937,3.42926582125,5.94218789448,0.28
8,655,4100,0.0336967516725,1.54466253551,0.500572019937,3.42926582125,5.78819712838,0.28
9,655,4600,0.0314418516954,1.59301701078,0.500572019937,3.42926582125,5.83429670366,0.28
10,655,5100,0.0296290889686,1.50781890413,0.500572019937,3.42926582125,5.74728583429,0.28
11,655,5600,0.0287381547621,1.55873598823,0.500572019937,3.42926582125,5.79731198418,0.28
12,655,6100,0.0274441807555,1.61318082906,0.500572019937,3.42926582125,5.850462851,0.28
13,655,6600,0.0263462634167,1.43255081999,0.500572019937,3.42926582125,5.6687349246,0.28
14,655,7100,0.0391456205272,1.39202949787,0.500572019937,3.42926582125,5.64101295958,0.28
15,655,7600,0.0374223344321,1.20480285929,0.500572019937,3.42926582125,5.45206303491,0.28
16,655,8100,0.0359117997069,1.21636197448,0.500572019937,3.42926582125,5.46211161538,0.28
17,655,8600,0.0345769085543,1.22789466197,0.500572019937,3.42926582125,5.47230941172,0.28
18,655,9100,0.0333887087372,1.23942644089,0.500572019937,3.42926582125,5.48265299081,0.28
19,655,9600,0.0324118899444,1.25097986371,0.500572019937,3.42926582125,5.49322959484,0.28
20,655,10100,0.0314485128126,1.26257504904,0.500572019937,3.42926582125,5.50386140304,0.28
21,654,100,0.486564918019,1.65913341869,0.500572019937,3.42926582125,6.3555361779,0.28
22,654,600,0.111722722208,1.51791343712,0.500572019937,3.42926582125,5.83947400052,0.28
23,654,1100,0.0668297575148,1.40922197367,0.500572019937,3.42926582125,5.68588957238,0.28
24,654,1600,0.052085230926,1.46016339635,0.500572019937,3.42926582125,5.72208646847,0.28
25,654,2100,0.044361375185,1.38299305043,0.500572019937,3.42926582125,5.6371922668,0.28
26,654,2600,0.0392855662001,1.44874063309,0.500572019937,3.42926582125,5.69786404048,0.28
27,654,3100,0.0350381638908,1.52536457689,0.500572019937,3.42926582125,5.77024058198,0.28
28,654,3600,0.0325521485518,1.61335227878,0.500572019937,3.42926582125,5.85574226852,0.28
29,654,4100,0.0331833396343,1.45456737091,0.500572019937,3.42926582125,5.69758855173,0.28
30,654,4600,0.0309842453135,1.49736782133,0.500572019937,3.42926582125,5.73818990783,0.28
31,654,5100,0.0292163459575,1.41527541062,0.500572019937,3.42926582125,5.65432959777,0.28
32,654,5600,0.0283622638055,1.46151694957,0.500572019937,3.42926582125,5.69971705456,0.28
33,654,6100,0.0270991005331,1.5114468258,0.500572019937,3.42926582125,5.74838376752,0.28
34,654,6600,0.040335163127,1.27470696463,0.500572019937,3.42926582125,5.52487996895,0.28
35,654,7100,0.0384067482506,1.28448935102,0.500572019937,3.42926582125,5.53273394046,0.28
36,654,7600,0.0367320721737,1.29429875039,0.500572019937,3.42926582125,5.54086866376,0.28
37,654,8100,0.0352641462298,1.11787042419,0.500572019937,3.42926582125,5.36297241161,0.28
38,654,8600,0.0339669093492,1.12638901681,0.500572019937,3.42926582125,5.37019376735,0.28
39,654,9100,0.0328122259719,1.13499080561,0.500572019937,3.42926582125,5.37764087277,0.28
40,654,9600,0.0317778221131,1.1436913722,0.500572019937,3.42926582125,5.38530703551,0.28
41,654,10100,0.0309291075488,1.15250476135,0.500572019937,3.42926582125,5.39327171009,0.28
42,653,100,0.465903344417,1.67102615808,0.500572019937,3.42926582125,6.34676734368,0.28
43,653,600,0.10734700252,1.54319377545,0.500572019937,3.42926582125,5.86037861916,0.28
44,653,1100,0.0644430013214,1.44067837952,0.500572019937,3.42926582125,5.71495922203,0.28
45,653,1600,0.050444336043,1.49913538914,0.500572019937,3.42926582125,5.75941756637,0.28
46,653,2100,0.0431111695599,1.4248582501,0.500572019937,3.42926582125,5.67780726085,0.28
47,653,2600,0.0382757847337,1.49692736573,0.500572019937,3.42926582125,5.74504099165,0.28
48,653,3100,0.0348666022685,1.57991223764,0.500572019937,3.42926582125,5.8246166811,0.28
49,653,3600,0.0318228619371,1.67439265629,0.500572019937,3.42926582125,5.91605335941,0.28
50,653,4100,0.0323871310267,1.51248196442,0.500572019937,3.42926582125,5.75470693664,0.28
51,653,4600,0.0302745811197,1.55966501235,0.500572019937,3.42926582125,5.79977743466,0.28
52,653,5100,0.0285762566847,1.47637677282,0.500572019937,3.42926582125,5.71479087069,0.28
53,653,5600,0.0277793253606,1.52661288245,0.500572019937,3.42926582125,5.764230049,0.28
54,653,6100,0.026563943928,1.58055410715,0.500572019937,3.42926582125,5.81695589227,0.28
55,653,6600,0.0391024994307,1.3371891944,0.500572019937,3.42926582125,5.58612953503,0.28
56,653,7100,0.0372608918569,1.34937763637,0.500572019937,3.42926582125,5.59647636942,0.28
