,grid_ID,People,Pipe_capital_energy_final_y,Pump_capital_energy_final_y,Tank_capital_energy_final_y,Pipe_operat_energy_final_y,Pump_operat_energy_final_y,Pipe_construction_energy_final_y,Pipe_excavation_energy_final_y,Pipe_transport_energy_final_y,tank_const_energy_final_y,tank_transport_energy_final_y,pump_construction_energy_final_y,pump_transport_energy_final_y,Treatment_operational_energy_y,Treatment_capital_energy_y,RSF_capital_energy_y,RSF_operational_energy_y,CoagFlocc_Capital_energy_y,CoagFlocc_Operational_energy_y,Chlorine_operational_energy_y,Sludge_transport_energy_final_y,Total_conveyance_operational_energy_collection_y
0,655,100,0.413868690556,0.0730675723288,0.0129516718826,0.00905557264359,1.66930013193,0.342450186887,0.0658981687722,0.00552033489727,0.00210470206781,0.0108469698147,0.0730172709589,5.0301369863e-05,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
1,655,600,0.0876493442578,0.0139432620548,0.0129516718826,0.0015197730631,1.55810606005,0.0715683758884,0.0149272782326,0.0011536901368,0.00210470206781,0.0108469698147,0.0139319349315,1.13271232877e-05,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
2,655,1100,0.0478087332315,0.00760838293898,0.0129516718826,0.000834700373965,1.45936715924,0.0390372959391,0.00814215176326,0.000629285529165,0.00210470206781,0.0108469698147,0.00759923723537,9.14570361146e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
3,655,1600,0.0328685040967,0.00784558600342,0.0129516718826,0.000577798115539,1.52130671463,0.0268381409581,0.00559772933724,0.000432633801301,0.00210470206781,0.0108469698147,0.00783671340068,8.87260273973e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
4,655,2100,0.025042669788,0.00717319236791,0.0129516718826,0.000443230265888,1.44712454455,0.0204481073967,0.0042649366379,0.000329625753372,0.00210470206781,0.0108469698147,0.00716499510763,8.19726027397e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
5,655,2600,0.0202267717518,0.00675825087039,0.0129516718826,0.000360419281487,1.52059989756,0.0165157790512,0.00344475651523,0.000266236185416,0.00210470206781,0.0108469698147,0.00675163000632,6.62086406744e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
6,655,3100,0.0169643892112,0.00634356227309,0.0129516718826,0.00030432151786,1.60436167827,0.0138519437203,0.00288915062567,0.000223294865188,0.00210470206781,0.0108469698147,0.00633678330711,6.77896597437e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
7,655,3600,0.014608224043,0.00546251195738,0.0129516718826,0.000263806466352,1.69906383894,0.0119280626481,0.00248787970544,0.000192281689467,0.00210470206781,0.0108469698147,0.00545667451446,5.83744292237e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
8,655,4100,0.0159487278274,0.00479635196258,0.0129516718826,0.000233173134724,1.54442936238,0.0131202602761,0.00261696750414,0.000211500047122,0.00210470206781,0.0108469698147,0.00479122640294,5.12555963916e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
9,655,4600,0.0142151704549,0.00427500935795,0.0129516718826,0.000209199223015,1.59280781155,0.0116941450287,0.00233251451456,0.000188510911566,0.00210470206781,0.0108469698147,0.00427044092436,4.56843359142e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
10,655,5100,0.0128215262926,0.00385589079345,0.0129516718826,0.000189926078308,1.50762897806,0.010547660222,0.00210383662098,0.000170029449647,0.00210470206781,0.0108469698147,0.0038517702455,4.12054794521e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
11,655,5600,0.0116767471593,0.00410973572016,0.0129516718826,0.000174094566585,1.55856189366,0.00960590484503,0.00191599406553,0.000154848248786,0.00210470206781,0.0108469698147,0.0041049451135,4.79060665362e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
12,655,6100,0.0107196367365,0.00377287213654,0.0129516718826,0.000160858384652,1.61301997067,0.00881853559544,0.00175894537164,0.000142155769377,0.00210470206781,0.0108469698147,0.00376847420256,4.39793397709e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
13,655,6600,0.0099075430443,0.00348704848983,0.0129516718826,0.00014962768483,1.4324011923,0.008150464717,0.00162569193439,0.000131386392909,0.00210470206781,0.0108469698147,0.00348298373267,4.06475716065e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
14,655,7100,0.0229524669499,0.00324148169477,0.0129516718826,0.000139978773715,1.39188951909,0.0199863409547,0.00264394396794,0.000322182027243,0.00210470206781,0.0108469698147,0.00323770318811,3.77850665638e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
15,655,7600,0.0214424362295,0.00302822632012,0.0129516718826,0.000131599456168,1.20467125984,0.0186714501024,0.00247000028584,0.00030098584124,0.00210470206781,0.0108469698147,0.00302469639942,3.52992069214e-06,2.4,0.5,0.000567275855872,0.18,4.74408142575e-06,0.20816,0.636209821253,0.004896,0.28
